Country,Continent,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Total Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop
New Caledonia,Australia/Oceania,18,0,0,0,18,0,0,63.0,0.0,5213,18259.0
Saint Lucia,North America,18,0,0,0,17,1,0,98.0,0.0,620,3376.0
St. Vincent Grenadines,North America,17,0,0,0,9,8,0,153.0,0.0,137,1235.0
Curaçao,North America,16,0,1,0,14,1,0,98.0,6.0,389,2371.0
Dominica,North America,16,0,0,0,15,1,0,222.0,0.0,420,5834.0
Nicaragua,North America,16,0,5,0,7,4,0,2.0,0.8,0,0.0
Namibia,Africa,16,0,0,0,11,5,0,6.0,0.0,1543,607.0
Burundi,Africa,15,0,1,0,7,7,0,1.0,0.08,284,24.0
Saint Kitts and Nevis,North America,15,0,0,0,14,1,0,282.0,0.0,327,6147.0
Falkland Islands,South America,13,0,0,0,13,0,0,3736.0,0.0,402,115517.0
Turks and Caicos,North America,12,0,1,0,8,3,0,310.0,26.0,109,2815.0
Vatican City,Europe,12,0,0,0,2,10,0,14981.0,0.0,0,0.0
Greenland,North America,11,0,0,0,11,0,0,194.0,0.0,1394,24555.0
Seychelles,Africa,11,0,0,0,10,1,0,112.0,0.0,0,0.0
Montserrat,North America,11,0,1,0,8,2,1,2204.0,200.0,36,7212.0
Comoros,Africa,11,0,1,0,0,10,0,13.0,1.0,0,0.0
Suriname,South America,10,0,1,0,9,0,0,17.0,2.0,404,689.0
Bhutan,Asia,9,2,0,0,5,4,0,12.0,0.0,11673,15128.0
Mauritania,Africa,8,0,1,0,6,1,0,2.0,0.2,1842,396.0
Papua New Guinea,Australia/Oceania,8,0,0,0,8,0,0,0.9,0.0,2402,268.0
British Virgin Islands,North America,7,0,1,0,4,2,0,232.0,33.0,167,5524.0
Caribbean Netherlands,North America,6,0,0,0,0,6,0,229.0,0.0,110,4195.0
St. Barth,North America,6,0,0,0,6,0,0,607.0,0.0,0,0.0
Western Sahara,Africa,6,0,0,0,5,1,0,10.0,0.0,0,0.0
Anguilla,North America,3,0,0,0,3,0,0,200.0,0.0,0,0.0
Saint Pierre Miquelon,North America,1,0,0,0,0,1,0,173.0,0.0,0,0.0
